"filename", "language", "JSON", "JavaScript", "JavaScript JSX", "PostCSS", "HTML", "Markdown", "comment", "blank", "total"
"c:\PADHAI\webwiz hackathon\frontend\README.md", "Markdown", 0, 0, 0, 0, 0, -9, 0, -8, -17
"c:\PADHAI\webwiz hackathon\frontend\eslint.config.js", "JavaScript", 0, -20, 0, 0, 0, 0, 0, -2, -22
"c:\PADHAI\webwiz hackathon\frontend\index.html", "HTML", 0, 0, 0, 0, -12, 0, 0, -1, -13
"c:\PADHAI\webwiz hackathon\frontend\package-lock.json", "JSON", -3043, 0, 0, 0, 0, 0, 0, -1, -3044
"c:\PADHAI\webwiz hackathon\frontend\package.json", "JSON", -28, 0, 0, 0, 0, 0, 0, -1, -29
"c:\PADHAI\webwiz hackathon\frontend\src\App.jsx", "JavaScript JSX", 0, 0, -82, 0, 0, 0, 0, -20, -102
"c:\PADHAI\webwiz hackathon\frontend\src\api\client.js", "JavaScript", 0, -22, 0, 0, 0, 0, -2, -8, -32
"c:\PADHAI\webwiz hackathon\frontend\src\components\Sidebar.jsx", "JavaScript JSX", 0, 0, -66, 0, 0, 0, 0, -14, -80
"c:\PADHAI\webwiz hackathon\frontend\src\index.css", "PostCSS", 0, 0, 0, -16, 0, 0, 0, -3, -19
"c:\PADHAI\webwiz hackathon\frontend\src\layouts\RoleLayout.jsx", "JavaScript JSX", 0, 0, -26, 0, 0, 0, 0, -4, -30
"c:\PADHAI\webwiz hackathon\frontend\src\main.jsx", "JavaScript JSX", 0, 0, -9, 0, 0, 0, 0, -1, -10
"c:\PADHAI\webwiz hackathon\frontend\src\pages\Login.jsx", "JavaScript JSX", 0, 0, -65, 0, 0, 0, 0, -20, -85
"c:\PADHAI\webwiz hackathon\frontend\src\pages\admin\Modules.jsx", "JavaScript JSX", 0, 0, -66, 0, 0, 0, 0, -19, -85
"c:\PADHAI\webwiz hackathon\frontend\src\pages\admin\Upload.jsx", "JavaScript JSX", 0, 0, -170, 0, 0, 0, 0, -40, -210
"c:\PADHAI\webwiz hackathon\frontend\src\pages\student\Ask.jsx", "JavaScript JSX", 0, 0, -107, 0, 0, 0, 0, -29, -136
"c:\PADHAI\webwiz hackathon\frontend\src\pages\student\Dashboard.jsx", "JavaScript JSX", 0, 0, -98, 0, 0, 0, 0, -20, -118
"c:\PADHAI\webwiz hackathon\frontend\src\pages\student\Modules.jsx", "JavaScript JSX", 0, 0, -69, 0, 0, 0, 0, -16, -85
"c:\PADHAI\webwiz hackathon\frontend\src\pages\ta\ReviewQueue.jsx", "JavaScript JSX", 0, 0, -156, 0, 0, 0, 0, -28, -184
"c:\PADHAI\webwiz hackathon\frontend\vite.config.js", "JavaScript", 0, -9, 0, 0, 0, 0, 0, -1, -10
"c:\PADHAI\webwiz hackathon\rag\ingest.js", "JavaScript", 0, 94, 0, 0, 0, 0, 4, 18, 116
"c:\PADHAI\webwiz hackathon\rag\package-lock.json", "JSON", 3707, 0, 0, 0, 0, 0, 0, 1, 3708
"c:\PADHAI\webwiz hackathon\rag\package.json", "JSON", 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\PADHAI\webwiz hackathon\rag\server.js", "JavaScript", 0, 101, 0, 0, 0, 0, 19, 27, 147
"Total", "-", 669, 144, -914, -16, -12, -9, 21, -189, -306
